tempo,PWM,RPM
10.639,99.384,1410.0
10.649,99.35,1410.0
10.659,114.985,1380.0
10.669,99.384,1410.0
10.679,99.35,1410.0
10.689,114.985,1380.0
10.699,115.053,1380.0
10.71,99.452,1410.0
10.719,99.418,1410.0
10.729,99.384,1410.0
10.739,115.019,1380.0
10.749,99.418,1410.0
10.759,99.384,1410.0
10.769,115.019,1380.0
10.779,99.418,1410.0
10.789,115.053,1380.0
10.799,99.452,1410.0
10.809,99.418,1410.0
10.819,115.053,1380.0
10.829,99.452,1410.0
10.839,99.418,1410.0
10.849,115.053,1380.0
10.859,99.452,1410.0
10.869,99.418,1410.0
10.88,115.053,1380.0
10.889,99.452,1410.0
10.899,99.418,1410.0
10.909,115.053,1380.0
10.919,99.452,1410.0
10.929,99.418,1410.0
10.939,115.053,1380.0
10.949,99.452,1410.0
10.959,115.087,1380.0
10.969,99.486,1410.0
10.979,99.452,1410.0
10.989,115.087,1380.0
10.999,99.486,1410.0
11.009,99.452,1410.0
11.019,99.418,1410.0
11.029,99.384,1410.0
11.039,115.019,1380.0
11.319,99.554,1410.0
11.329,115.189,1380.0
11.339,99.588,1410.0
11.35,99.554,1410.0
11.359,99.52,1410.0
11.369,115.155,1380.0
11.379,99.554,1410.0
11.389,115.189,1380.0
11.399,99.588,1410.0
11.409,99.554,1410.0
11.419,99.52,1410.0
11.429,115.155,1380.0
11.439,99.554,1410.0
11.449,115.189,1380.0
11.459,99.588,1410.0
11.469,99.554,1410.0
11.479,115.189,1380.0
11.489,99.588,1410.0
11.499,99.554,1410.0
11.509,99.52,1410.0
11.52,115.155,1380.0
11.529,99.554,1410.0
11.539,115.189,1380.0
11.549,99.588,1410.0
11.559,115.223,1380.0
11.569,99.622,1410.0
11.579,99.588,1410.0
11.589,99.554,1410.0
11.599,115.189,1380.0
11.609,99.588,1410.0
11.619,115.223,1380.0
11.629,99.622,1410.0
11.639,99.588,1410.0
11.649,115.223,1380.0
11.659,99.622,1410.0
11.669,99.588,1410.0
11.679,115.223,1380.0
11.689,99.623,1410.0
11.699,99.589,1410.0
11.709,115.224,1380.0
11.719,99.623,1410.0
11.729,115.258,1380.0
11.739,99.657,1410.0
11.749,99.623,1410.0
11.759,99.589,1410.0
11.769,115.224,1380.0
11.779,99.623,1410.0
11.789,115.258,1380.0
11.799,99.657,1410.0
11.809,99.623,1410.0
11.82,115.258,1380.0
11.829,99.657,1410.0
11.839,115.292,1380.0
11.849,99.691,1410.0
11.859,99.657,1410.0
11.869,99.623,1410.0
11.879,115.258,1380.0
11.889,99.657,1410.0
11.899,99.623,1410.0
11.909,115.258,1380.0
11.919,115.326,1380.0
11.929,99.725,1410.0
11.939,84.022,1440.0
11.949,115.224,1380.0
11.959,99.623,1410.0
11.969,115.258,1380.0
11.979,99.657,1410.0
11.99,99.623,1410.0
11.999,115.258,1380.0
12.009,99.657,1410.0
12.019,115.292,1380.0
12.029,99.691,1410.0
12.039,83.988,1440.0
12.049,115.19,1380.0
12.059,115.258,1380.0
12.069,99.657,1410.0
12.079,99.623,1410.0
12.089,115.258,1380.0
12.099,99.657,1410.0
12.109,99.623,1410.0
12.119,99.589,1410.0
